ITEM,DESCRIPTION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
53212312,GOLD SHYFT TS SCMX SAPPHIRE   ,0,0,0,0,0,0,0,0,0,0,0,0
53212336,GOLD SHYFT TS SCMX GARNET     ,0,0,0,0,0,0,0,0,0,0,0,0
53212337,GOLD SHYFT TS SCMX OPAL       ,0,0,0,0,0,0,0,0,0,0,0,0
54611770,ADV EPIC 4WHL TS LTMX SS JET  ,3,0,0,0,80,76,80,80,0,12,5,10
55411811,VIVE ELITE TS EMBRACE LINUS   ,0,0,0,0,0,0,0,0,0,0,0,0
55411874,VIVE TS EMBRACE HAYDEN DOT    ,0,0,0,0,0,0,0,0,0,0,0,0
55411881,VIVE TS EMBRACE ICS DAPHNE    ,0,0,0,0,0,0,0,0,0,0,0,0
55411881A       ,VIVE TS EMB LX DAPHNE         ,0,0,0,0,0,0,0,0,0,0,0,0
55411894,VIVE TS EMB LX SPEARMINT SPREE,0,0,0,0,0,0,0,0,0,0,0,0
55411894A       ,VIVE TS EMB LX SPEARMINT SPREE,0,0,0,0,0,0,0,0,0,0,0,0
55421881,VIVE TS EMB LX DAPHNE         ,7,75,86,100,115,111,75,75,93,75,78,70
55421894,VIVE TS EMB LX SPEARMINT SPREE,7,750,347,500,150,144,250,600,129,84,543,684
55421894A       ,VIVE TS EMB LX SPEARMINT SPREE,450,0,0,0,0,0,0,0,0,0,0,0
55711935,PRINCETON TS SERENADE SKYBL   ,0,0,0,0,0,0,0,0,0,0,0,0
56011990,PIVOT MDTS G0179 SFMX CSUAlGRY,26,338,74,63,77,699,727,727,120,0,0,0
56011990A       ,PIVOT MDTS G0179 SFMX CSUALGRY,167,216,1951,0,0,484,40,0,464,101,556,0
56011993,PIVOT MOD TS SFMX ICS SNDSTNE ,0,799,113,120,120,109,120,120,13,0,0,0
56011993A       ,PIVOT MOD TS SFMX ICS SNDSTNE ,300,1066,3906,0,0,430,30,0,1374,779,1764,0
56012184,PIVOT TS SAFEMAX SS ROCKLAND  ,0,0,0,0,0,0,0,0,0,0,0,0
56012215,PIVOT TS SAFEMAX NAVY         ,13,52,50,52,52,0,0,0,0,0,0,0
56012215A       ,PIVOT TS W/SAFEMAX NAVY       ,100,137,1212,0,0,359,0,0,0,0,0,0
56012217,PIVOT TS SAFEMAX DUSTY ROSE   ,2,345,125,129,16,386,129,129,0,0,0,0
56012217A       ,PIVOT TS W/SAFEMAX DUSTY ROSE ,200,229,1809,0,0,522,793,0,0,326,0,0
56012367,PIVOT TS SALSA                ,0,0,0,0,0,0,0,0,0,0,0,6
56022217,PIVOT TS DUSTY ROSE           ,0,0,0,0,0,0,0,0,0,0,35,164
56031993,PIVOT TS SANDSTONE            ,0,0,0,0,0,0,0,0,0,0,233,500
56041990,PIVOT TS CASUAL GRAY          ,0,0,0,0,0,0,0,0,0,0,0,85
56211976,SIBBY TS LITEMAX RASPBRY .COM ,0,0,0,0,0,0,0,0,0,0,0,0
56231952,SIBBY 2 TS LITEMAX MINERL GRAY,0,0,0,0,0,0,0,0,124,100,253,332
56231975,SIBBY 2 TS LITEMAX CHARCOAL   ,0,403,239,500,167,550,250,300,147,197,629,273
56232216,SIBBY 2 TS LITEMAX HGHLINE GRY,89,116,79,100,100,103,81,81,173,0,0,0
56311987,FOLIO TS LITEMAX ICS BLCKBERRY,0,45,58,9,9,8,9,9,8,9,8,9
